userId,movieId,rating,timestamp
464,2571,5.0,1275548673
307,33794,4.0,1242822641
606,111,3.5,1171831405
307,37384,2.0,1186259104
409,3298,3.0,968978115
608,1760,0.5,1117506736
89,69757,2.5,1520408709
355,915,4.0,974966389
151,880,3.0,855948042
462,83827,5.0,1320417319
307,52604,4.5,1213926484
330,1291,3.5,1285905152
585,296,5.0,1307418531
448,158956,2.0,1485108771
509,8644,3.0,1435993425
105,8641,3.0,1447563108
474,48516,4.0,1180012354
307,3955,2.5,1186173881
305,1466,3.5,1518767888
380,4878,4.0,1494528167
468,185,3.0,831400500
332,750,4.5,1352672860
105,134849,4.0,1447574669
61,1090,4.0,1145532596
504,4361,4.0,1063644678
325,1264,4.0,1039397978
182,1653,3.5,1054779637
448,43871,1.5,1166824406
573,39446,4.0,1186589258
330,1,4.0,1285904910
369,216,3.5,1237081593
420,2858,4.0,1218037104
21,119155,3.5,1419794090
567,4993,3.0,1525287066
290,3608,4.0,974937732
41,5418,2.0,1459368584
352,97304,4.0,1493674351
54,590,3.0,830247106
392,2707,3.0,1027524290
357,46976,4.0,1348610741
274,4370,3.0,1171944381
514,1610,4.5,1533872420
489,1370,3.0,1333830655
213,2232,3.5,1316196077
64,480,4.0,1161520140
474,2011,2.0,1014924563
307,4975,4.0,1200150500
200,524,3.5,1229876652
411,150,5.0,835531951
288,4966,3.0,1026309749
580,4963,4.0,1167791407
28,61350,3.5,1234335260
156,7285,4.0,1106854328
20,4367,0.5,1054147289
39,1215,5.0,974789432
42,2169,2.0,996256228
590,552,3.0,1258421379
198,66,1.0,1034135137
540,4239,4.0,1179107949
140,691,3.0,949667253
457,2490,4.0,993610992
212,102123,2.5,1490121436
82,2,3.0,1084465035
606,2942,3.0,1171926932
378,6539,4.0,1445347884
186,2094,4.0,1031079871
483,1732,5.0,1178293982
517,480,1.0,1487962661
249,87298,3.5,1356550322
265,2433,4.0,965318061
182,3254,3.0,1055156157
527,1663,4.0,1033175310
466,3825,4.5,1439915753
32,1036,5.0,856737338
357,1333,3.5,1348610795
608,4638,3.0,1117408543
221,1092,3.5,1111178161
577,1233,3.0,945966674
64,7360,4.5,1161564441
437,211,4.0,859721610
249,143365,2.5,1501416804
559,485,3.0,845476159
85,538,4.0,889468460
307,1326,0.5,1186084967
30,112852,5.0,1500370426
610,2459,3.5,1495959405
182,3078,4.0,1055157614
260,4848,3.0,1109408519
232,745,3.5,1218480882
464,1222,5.0,1275550294
288,3361,3.5,1054569393
603,319,3.0,963176459
339,63072,4.0,1460182268
64,8795,4.5,1161529979
380,1282,3.0,1494803608
136,10,5.0,832449222
420,44555,4.5,1218206968
567,102125,3.0,1525287139
448,941,4.0,1092830001
255,1663,5.0,1005717340
182,4349,5.0,1054781175
288,1965,4.5,1079984319
372,1089,5.0,874414806
608,3915,4.0,1117675159
603,4419,5.0,1000194332
414,647,3.0,961512495
479,1088,4.0,1039362157
590,6373,2.5,1258422955
249,72998,4.0,1346756246
387,55118,3.5,1191649955
198,4388,1.0,1034137344
563,6732,5.0,1441846651
123,5952,3.5,1447269135
398,261,3.5,1311207257
448,91128,3.0,1356880002
73,47099,4.0,1464275325
377,5113,2.5,1340342964
434,2194,4.0,1271039143
318,5110,4.0,1267474334
318,8529,3.5,1342627571
186,1259,4.0,1031087825
62,83369,4.0,1525125807
289,16,4.5,1143424648
156,1265,5.0,946799291
572,1287,5.0,945888944
448,1037,4.0,1019133161
140,1084,4.0,1021898963
509,7045,3.0,1436027388
1,2115,5.0,964982529
19,2232,3.0,965703756
488,1148,4.5,1112381887
373,355,1.0,846830296
